Category,Condition,No_of_studies
Diseases and Abnormalities at or Before Birth,Canavan Disease,6
Diseases and Abnormalities at or Before Birth,Carbamoyl-Phosphate Synthase I Deficiency Disease,8
Diseases and Abnormalities at or Before Birth,"Carbohydrate Metabolism, Inborn Errors",438
Diseases and Abnormalities at or Before Birth,"Cardiomyopathy, Hypertrophic, Familial",6
Diseases and Abnormalities at or Before Birth,Cardiovascular Abnormalities,1339
Diseases and Abnormalities at or Before Birth,Carney Complex,4
Diseases and Abnormalities at or Before Birth,Caroli Disease,2
Diseases and Abnormalities at or Before Birth,Carotid-Cavernous Sinus Fistula,1
Diseases and Abnormalities at or Before Birth,Central Nervous System Vascular Malformations,36
Diseases and Abnormalities at or Before Birth,"Cerebral Amyloid Angiopathy, Familial",11
Diseases and Abnormalities at or Before Birth,Charcot-Marie-Tooth Disease,304
Diseases and Abnormalities at or Before Birth,Cherubism,2
Diseases and Abnormalities at or Before Birth,Choanal Atresia,1
Diseases and Abnormalities at or Before Birth,Choledochal Cyst,5
Diseases and Abnormalities at or Before Birth,Cholesterol Ester Storage Disease,26
Diseases and Abnormalities at or Before Birth,Chorioamnionitis,30
Diseases and Abnormalities at or Before Birth,Choroideremia,20
Diseases and Abnormalities at or Before Birth,Chromosome Disorders,756
Diseases and Abnormalities at or Before Birth,Ciliary Motility Disorders,35
Diseases and Abnormalities at or Before Birth,Ciliopathies,195
Diseases and Abnormalities at or Before Birth,Citrullinemia,7
Diseases and Abnormalities at or Before Birth,Cleft Lip,64
Diseases and Abnormalities at or Before Birth,Cleft Palate,76
Diseases and Abnormalities at or Before Birth,Clubfoot,71
Diseases and Abnormalities at or Before Birth,Cockayne Syndrome,7
Diseases and Abnormalities at or Before Birth,Colic,135
Diseases and Abnormalities at or Before Birth,Coloboma,6
Diseases and Abnormalities at or Before Birth,"Colorectal Neoplasms, Hereditary Nonpolyposis",69
Diseases and Abnormalities at or Before Birth,Cone-Rod Dystrophies,11
Diseases and Abnormalities at or Before Birth,Congenital Abnormalities,4951
Diseases and Abnormalities at or Before Birth,Congenital Disorders of Glycosylation,7
Diseases and Abnormalities at or Before Birth,Congenital Hyperinsulinism,31
Diseases and Abnormalities at or Before Birth,Congenital Hypothyroidism,10
Diseases and Abnormalities at or Before Birth,Congenital Microtia,7
Diseases and Abnormalities at or Before Birth,"Coproporphyria, Hereditary",8
Diseases and Abnormalities at or Before Birth,"Corneal Dystrophies, Hereditary",50
Diseases and Abnormalities at or Before Birth,Coronary Vessel Anomalies,4
Diseases and Abnormalities at or Before Birth,Costello Syndrome,1
Diseases and Abnormalities at or Before Birth,Craniofacial Abnormalities,255
Diseases and Abnormalities at or Before Birth,Craniofacial Dysostosis,24
Diseases and Abnormalities at or Before Birth,Craniosynostoses,54
Diseases and Abnormalities at or Before Birth,Cri-du-Chat Syndrome,1
Diseases and Abnormalities at or Before Birth,Crigler-Najjar Syndrome,11
Diseases and Abnormalities at or Before Birth,Cryopyrin-Associated Periodic Syndromes,22
Diseases and Abnormalities at or Before Birth,Cryptorchidism,21
Diseases and Abnormalities at or Before Birth,Cutis Laxa,61
Diseases and Abnormalities at or Before Birth,"Cystic Adenomatoid Malformation of Lung, Congenital",3
Diseases and Abnormalities at or Before Birth,Cystic Fibrosis,1080
Diseases and Abnormalities at or Before Birth,Cystinosis,25
Diseases and Abnormalities at or Before Birth,Cystinuria,17
Diseases and Abnormalities at or Before Birth,Darier Disease,7
Diseases and Abnormalities at or Before Birth,De Lange Syndrome,2
Diseases and Abnormalities at or Before Birth,Dent Disease,9
Diseases and Abnormalities at or Before Birth,Dental Enamel Hypoplasia,19
Diseases and Abnormalities at or Before Birth,Dentinogenesis Imperfecta,1
Diseases and Abnormalities at or Before Birth,Dentofacial Deformities,13
Diseases and Abnormalities at or Before Birth,Denys-Drash Syndrome,2
Diseases and Abnormalities at or Before Birth,"Dermatitis, Atopic",724
Diseases and Abnormalities at or Before Birth,Dextrocardia,48
Diseases and Abnormalities at or Before Birth,Diaphragmatic Eventration,1
Diseases and Abnormalities at or Before Birth,Diastema,2
Diseases and Abnormalities at or Before Birth,DiGeorge Syndrome,34
Diseases and Abnormalities at or Before Birth,Digestive System Abnormalities,97
Diseases and Abnormalities at or Before Birth,Disorders of Sex Development,261
Diseases and Abnormalities at or Before Birth,Distal Myopathies,14
Diseases and Abnormalities at or Before Birth,Double Outlet Right Ventricle,3
Diseases and Abnormalities at or Before Birth,Down Syndrome,195
Diseases and Abnormalities at or Before Birth,Duane Retraction Syndrome,1
Diseases and Abnormalities at or Before Birth,"Ductus Arteriosus, Patent",96
Diseases and Abnormalities at or Before Birth,Dwarfism,335
Diseases and Abnormalities at or Before Birth,"Dysautonomia, Familial",11
Diseases and Abnormalities at or Before Birth,Dyskeratosis Congenita,14
Diseases and Abnormalities at or Before Birth,Dysplastic Nevus Syndrome,14
Diseases and Abnormalities at or Before Birth,Dystonia Musculorum Deformans,1
Diseases and Abnormalities at or Before Birth,Ebstein Anomaly,3
Diseases and Abnormalities at or Before Birth,Ectodermal Dysplasia,33
Diseases and Abnormalities at or Before Birth,"Ectodermal Dysplasia 1, Anhidrotic",17
Diseases and Abnormalities at or Before Birth,Ehlers-Danlos Syndrome,31
Diseases and Abnormalities at or Before Birth,Eisenmenger Complex,21
Diseases and Abnormalities at or Before Birth,"Elliptocytosis, Hereditary",1
Diseases and Abnormalities at or Before Birth,Ellis-Van Creveld Syndrome,1
Diseases and Abnormalities at or Before Birth,Endocardial Cushion Defects,11
Diseases and Abnormalities at or Before Birth,Epidermolysis Bullosa,77
Diseases and Abnormalities at or Before Birth,Epidermolysis Bullosa Acquisita,2
Diseases and Abnormalities at or Before Birth,Epidermolysis Bullosa Dystrophica,33
Diseases and Abnormalities at or Before Birth,Epidermolysis Bullosa Simplex,11
Diseases and Abnormalities at or Before Birth,"Epidermolysis Bullosa, Junctional",4
Diseases and Abnormalities at or Before Birth,Epispadias,6
Diseases and Abnormalities at or Before Birth,Equinus Deformity,71
Diseases and Abnormalities at or Before Birth,"Erythroblastosis, Fetal",20
Diseases and Abnormalities at or Before Birth,Esophageal Atresia,20
Diseases and Abnormalities at or Before Birth,"Exostoses, Multiple Hereditary",11
Diseases and Abnormalities at or Before Birth,Eye Abnormalities,47
Diseases and Abnormalities at or Before Birth,"Eye Diseases, Hereditary",507
Diseases and Abnormalities at or Before Birth,Fabry Disease,144
Diseases and Abnormalities at or Before Birth,Factor V Deficiency,1
Diseases and Abnormalities at or Before Birth,Factor VII Deficiency,5
Diseases and Abnormalities at or Before Birth,Factor X Deficiency,4
Diseases and Abnormalities at or Before Birth,Factor XI Deficiency,3
Diseases and Abnormalities at or Before Birth,Factor XII Deficiency,1
Diseases and Abnormalities at or Before Birth,Factor XIII Deficiency,11
Diseases and Abnormalities at or Before Birth,Familial Hypophosphatemic Rickets,38
Diseases and Abnormalities at or Before Birth,Familial Mediterranean Fever,110
Diseases and Abnormalities at or Before Birth,Familial Multiple Lipomatosis,1
Diseases and Abnormalities at or Before Birth,Fanconi Anemia,82
Diseases and Abnormalities at or Before Birth,Fanconi Syndrome,89
Diseases and Abnormalities at or Before Birth,Farber Lipogranulomatosis,2
Diseases and Abnormalities at or Before Birth,Favism,1
Diseases and Abnormalities at or Before Birth,Fetal Alcohol Spectrum Disorders,36
Diseases and Abnormalities at or Before Birth,Fetal Diseases,261
Diseases and Abnormalities at or Before Birth,Fetal Growth Retardation,162
Diseases and Abnormalities at or Before Birth,Fetal Hypoxia,12
Diseases and Abnormalities at or Before Birth,Fetal Macrosomia,39
Diseases and Abnormalities at or Before Birth,Fetofetal Transfusion,14
Diseases and Abnormalities at or Before Birth,Fetomaternal Transfusion,4
Diseases and Abnormalities at or Before Birth,Flatfoot,34
Diseases and Abnormalities at or Before Birth,Focal Dermal Hypoplasia,5
Diseases and Abnormalities at or Before Birth,"Foot Deformities, Congenital",172
Diseases and Abnormalities at or Before Birth,"Foramen Ovale, Patent",65
Diseases and Abnormalities at or Before Birth,Fragile X Syndrome,74
Diseases and Abnormalities at or Before Birth,Fraser Syndrome,1
Diseases and Abnormalities at or Before Birth,Frasier Syndrome,2
Diseases and Abnormalities at or Before Birth,Friedreich Ataxia,55
Diseases and Abnormalities at or Before Birth,Fructose Intolerance,9
Diseases and Abnormalities at or Before Birth,"Fructose Metabolism, Inborn Errors",9
Diseases and Abnormalities at or Before Birth,Fuchs' Endothelial Dystrophy,38
Diseases and Abnormalities at or Before Birth,Fucosidosis,9
Diseases and Abnormalities at or Before Birth,Funnel Chest,33
Diseases and Abnormalities at or Before Birth,Galactosemias,7
Diseases and Abnormalities at or Before Birth,Gangliosidoses,23
Diseases and Abnormalities at or Before Birth,"Gangliosidoses, GM2",19
Diseases and Abnormalities at or Before Birth,"Gangliosidosis, GM1",8
Diseases and Abnormalities at or Before Birth,Gardner Syndrome,1
Diseases and Abnormalities at or Before Birth,Gastroschisis,29
Diseases and Abnormalities at or Before Birth,GATA2 Deficiency,7
Diseases and Abnormalities at or Before Birth,Gaucher Disease,101
Diseases and Abnormalities at or Before Birth,"Genetic Diseases, Inborn",8772
Diseases and Abnormalities at or Before Birth,"Genetic Diseases, X-Linked",1022
Diseases and Abnormalities at or Before Birth,Giant Axonal Neuropathy,2
Diseases and Abnormalities at or Before Birth,Gilbert Disease,2
Diseases and Abnormalities at or Before Birth,Gitelman Syndrome,4
Diseases and Abnormalities at or Before Birth,Glucosephosphate Dehydrogenase Deficiency,33
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease,132
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type I,11
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type II,103
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type IIb,2
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type III,7
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type IV,4
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type V,9
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type VI,2
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type VII,4
Diseases and Abnormalities at or Before Birth,Glycogen Storage Disease Type VIII,1
Diseases and Abnormalities at or Before Birth,"Glycosuria, Renal",1
Diseases and Abnormalities at or Before Birth,Goldenhar Syndrome,8
Diseases and Abnormalities at or Before Birth,Gonadal Dysgenesis,162
Diseases and Abnormalities at or Before Birth,"Gonadal Dysgenesis, 46,XX",1
Diseases and Abnormalities at or Before Birth,Gout,199
Diseases and Abnormalities at or Before Birth,"Granulomatous Disease, Chronic",63
Diseases and Abnormalities at or Before Birth,Graves Ophthalmopathy,68
Diseases and Abnormalities at or Before Birth,Gray Platelet Syndrome,2
Diseases and Abnormalities at or Before Birth,Gyrate Atrophy,3
Diseases and Abnormalities at or Before Birth,"Hamartoma Syndrome, Multiple",21
Diseases and Abnormalities at or Before Birth,"Hand Deformities, Congenital",4
Diseases and Abnormalities at or Before Birth,"Heart Defects, Congenital",1048
Diseases and Abnormalities at or Before Birth,Heart Septal Defects,133
Diseases and Abnormalities at or Before Birth,"Heart Septal Defects, Atrial",92
Diseases and Abnormalities at or Before Birth,"Heart Septal Defects, Ventricular",39
Diseases and Abnormalities at or Before Birth,"Hemangioma, Cavernous, Central Nervous System",9
Diseases and Abnormalities at or Before Birth,Hemochromatosis,46
Diseases and Abnormalities at or Before Birth,Hemoglobin C Disease,7
Diseases and Abnormalities at or Before Birth,Hemoglobin SC Disease,23
Diseases and Abnormalities at or Before Birth,Hemoglobinopathies,865
Diseases and Abnormalities at or Before Birth,Hemophilia A,550
Diseases and Abnormalities at or Before Birth,Hemophilia B,182
Diseases and Abnormalities at or Before Birth,Hepatolenticular Degeneration,23
Diseases and Abnormalities at or Before Birth,Hereditary Autoinflammatory Diseases,110
Diseases and Abnormalities at or Before Birth,Hereditary Breast and Ovarian Cancer Syndrome,36
Diseases and Abnormalities at or Before Birth,Hereditary Central Nervous System Demyelinating Diseases,77
Diseases and Abnormalities at or Before Birth,Hereditary Sensory and Autonomic Neuropathies,14
Diseases and Abnormalities at or Before Birth,Hereditary Sensory and Motor Neuropathy,304
Diseases and Abnormalities at or Before Birth,"Heredodegenerative Disorders, Nervous System",1146
Diseases and Abnormalities at or Before Birth,Hermanski-Pudlak Syndrome,7
Diseases and Abnormalities at or Before Birth,"Hernia, Umbilical",38
Diseases and Abnormalities at or Before Birth,"Hernias, Diaphragmatic, Congenital",52
Diseases and Abnormalities at or Before Birth,Heterotaxy Syndrome,7
Diseases and Abnormalities at or Before Birth,"Hip Dislocation, Congenital",88
Diseases and Abnormalities at or Before Birth,Hirschsprung Disease,25
Diseases and Abnormalities at or Before Birth,Holoprosencephaly,4
Diseases and Abnormalities at or Before Birth,Homocystinuria,7
Diseases and Abnormalities at or Before Birth,Huntington Disease,166
Diseases and Abnormalities at or Before Birth,Hyaline Membrane Disease,39
Diseases and Abnormalities at or Before Birth,"Hyalinosis, Systemic",1
Diseases and Abnormalities at or Before Birth,Hydranencephaly,1
Diseases and Abnormalities at or Before Birth,Hydrophthalmos,17
Diseases and Abnormalities at or Before Birth,Hydrops Fetalis,8
Diseases and Abnormalities at or Before Birth,Hyper-IgM Immunodeficiency Syndrome,14
Diseases and Abnormalities at or Before Birth,"Hyper-IgM Immunodeficiency Syndrome, Type 1",13
Diseases and Abnormalities at or Before Birth,Hyperandrogenism,69
Diseases and Abnormalities at or Before Birth,Hyperargininemia,3
Diseases and Abnormalities at or Before Birth,"Hyperbilirubinemia, Neonatal",66
Diseases and Abnormalities at or Before Birth,Hyperhomocysteinemia,39
Diseases and Abnormalities at or Before Birth,"Hyperkeratosis, Epidermolytic",2
Diseases and Abnormalities at or Before Birth,"Hyperlipidemia, Familial Combined",37
Diseases and Abnormalities at or Before Birth,Hyperlipoproteinemia Type I,19
Diseases and Abnormalities at or Before Birth,Hyperlipoproteinemia Type II,143
Diseases and Abnormalities at or Before Birth,Hyperlipoproteinemia Type III,5
Diseases and Abnormalities at or Before Birth,Hyperlipoproteinemia Type IV,7
Diseases and Abnormalities at or Before Birth,Hyperlipoproteinemia Type V,13
Diseases and Abnormalities at or Before Birth,"Hyperoxaluria, Primary",30
Diseases and Abnormalities at or Before Birth,Hypertelorism,14
Diseases and Abnormalities at or Before Birth,Hypoalphalipoproteinemias,14
Diseases and Abnormalities at or Before Birth,Hypobetalipoproteinemias,8
Diseases and Abnormalities at or Before Birth,Hypokalemic Periodic Paralysis,3
Diseases and Abnormalities at or Before Birth,Hypolipoproteinemias,23
Diseases and Abnormalities at or Before Birth,Hypophosphatasia,24
Diseases and Abnormalities at or Before Birth,"Hypophosphatemia, Familial",39
Diseases and Abnormalities at or Before Birth,Hypoplastic Left Heart Syndrome,50
Diseases and Abnormalities at or Before Birth,Hypoprothrombinemias,1
Diseases and Abnormalities at or Before Birth,Hypospadias,57
Diseases and Abnormalities at or Before Birth,"Ichthyosiform Erythroderma, Congenital",25
Diseases and Abnormalities at or Before Birth,Ichthyosis,39
Diseases and Abnormalities at or Before Birth,Ichthyosis Vulgaris,4
Diseases and Abnormalities at or Before Birth,"Ichthyosis, Lamellar",16
Diseases and Abnormalities at or Before Birth,"Ichthyosis, X-Linked",55
Diseases and Abnormalities at or Before Birth,Incontinentia Pigmenti,1
Diseases and Abnormalities at or Before Birth,"Infant, Newborn, Diseases",2673
Diseases and Abnormalities at or Before Birth,"Infant, Premature, Diseases",930
Diseases and Abnormalities at or Before Birth,Intestinal Atresia,5
Diseases and Abnormalities at or Before Birth,Intracranial Arteriovenous Malformations,20
Diseases and Abnormalities at or Before Birth,Isolated Noncompaction of the Ventricular Myocardium,1
Diseases and Abnormalities at or Before Birth,"Jaundice, Neonatal",39
Diseases and Abnormalities at or Before Birth,Jaw Abnormalities,107
Diseases and Abnormalities at or Before Birth,Jervell-Lange Nielsen Syndrome,2
Diseases and Abnormalities at or Before Birth,Kallmann Syndrome,20
Diseases and Abnormalities at or Before Birth,Kartagener Syndrome,34
Diseases and Abnormalities at or Before Birth,"Keratoderma, Palmoplantar",2
Diseases and Abnormalities at or Before Birth,"Keratoderma, Palmoplantar, Diffuse",1
Diseases and Abnormalities at or Before Birth,Kernicterus,7
Diseases and Abnormalities at or Before Birth,Klinefelter Syndrome,30
Diseases and Abnormalities at or Before Birth,Klippel-Feil Syndrome,4
Diseases and Abnormalities at or Before Birth,Lactose Intolerance,34
Diseases and Abnormalities at or Before Birth,Lafora Disease,2
Diseases and Abnormalities at or Before Birth,Laron Syndrome,2
Diseases and Abnormalities at or Before Birth,Laryngomalacia,9
Diseases and Abnormalities at or Before Birth,Laryngostenosis,6
Diseases and Abnormalities at or Before Birth,Laurence-Moon Syndrome,9
Diseases and Abnormalities at or Before Birth,Lecithin Cholesterol Acyltransferase Deficiency,3
Diseases and Abnormalities at or Before Birth,Leigh Disease,11
Diseases and Abnormalities at or Before Birth,Lennox Gastaut Syndrome,36
Diseases and Abnormalities at or Before Birth,LEOPARD Syndrome,1
Diseases and Abnormalities at or Before Birth,Lesch-Nyhan Syndrome,4
Diseases and Abnormalities at or Before Birth,"Leukodystrophy, Globoid Cell",22
Diseases and Abnormalities at or Before Birth,"Leukodystrophy, Metachromatic",34
Diseases and Abnormalities at or Before Birth,"Leukomalacia, Periventricular",29
Diseases and Abnormalities at or Before Birth,Li-Fraumeni Syndrome,13
Diseases and Abnormalities at or Before Birth,Liddle Syndrome,1
Diseases and Abnormalities at or Before Birth,"Limb Deformities, Congenital",144
Diseases and Abnormalities at or Before Birth,"Lipid Metabolism, Inborn Errors",633
Diseases and Abnormalities at or Before Birth,Lipidoses,382
Diseases and Abnormalities at or Before Birth,"Lipodystrophy, Congenital Generalized",7
Diseases and Abnormalities at or Before Birth,Loeys-Dietz Syndrome,4
Diseases and Abnormalities at or Before Birth,Long QT Syndrome,74
Diseases and Abnormalities at or Before Birth,"Lower Extremity Deformities, Congenital",77
Diseases and Abnormalities at or Before Birth,Lymphatic Abnormalities,47
Diseases and Abnormalities at or Before Birth,Lysosomal Storage Diseases,636
Diseases and Abnormalities at or Before Birth,Machado-Joseph Disease,20
Diseases and Abnormalities at or Before Birth,Malformations of Cortical Development,81
Diseases and Abnormalities at or Before Birth,"Malformations of Cortical Development, Group II",3
Diseases and Abnormalities at or Before Birth,Mannosidase Deficiency Diseases,24
Diseases and Abnormalities at or Before Birth,Maple Syrup Urine Disease,2
Diseases and Abnormalities at or Before Birth,Marfan Syndrome,53
Diseases and Abnormalities at or Before Birth,Maxillofacial Abnormalities,121
Diseases and Abnormalities at or Before Birth,May-Thurner Syndrome,10
Diseases and Abnormalities at or Before Birth,Meconium Aspiration Syndrome,17
Diseases and Abnormalities at or Before Birth,Megalencephaly,3
Diseases and Abnormalities at or Before Birth,MELAS Syndrome,12
Diseases and Abnormalities at or Before Birth,Meningocele,1
Diseases and Abnormalities at or Before Birth,Meningomyelocele,30
Diseases and Abnormalities at or Before Birth,Menkes Kinky Hair Syndrome,2
Diseases and Abnormalities at or Before Birth,"Mental Retardation, X-Linked",227
Diseases and Abnormalities at or Before Birth,"Metabolism, Inborn Errors",1908
Diseases and Abnormalities at or Before Birth,"Metal Metabolism, Inborn Errors",148
Diseases and Abnormalities at or Before Birth,Mevalonate Kinase Deficiency,4
Diseases and Abnormalities at or Before Birth,Microcephaly,21
Diseases and Abnormalities at or Before Birth,Micrognathism,12
Diseases and Abnormalities at or Before Birth,Microphthalmos,5
Diseases and Abnormalities at or Before Birth,Microstomia,1
Diseases and Abnormalities at or Before Birth,"Mineralocorticoid Excess Syndrome, Apparent",3
Diseases and Abnormalities at or Before Birth,Mobius Syndrome,4
Diseases and Abnormalities at or Before Birth,Mouth Abnormalities,112
Diseases and Abnormalities at or Before Birth,Mucolipidoses,11
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidoses,160
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidosis I,55
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidosis II,48
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidosis III,34
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidosis IV,161
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidosis VI,28
Diseases and Abnormalities at or Before Birth,Mucopolysaccharidosis VII,12
Diseases and Abnormalities at or Before Birth,Muir-Torre Syndrome,3
Diseases and Abnormalities at or Before Birth,Multicystic Dysplastic Kidney,10
Diseases and Abnormalities at or Before Birth,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,3
Diseases and Abnormalities at or Before Birth,Multiple Endocrine Neoplasia,27
Diseases and Abnormalities at or Before Birth,Multiple Endocrine Neoplasia Type 1,12
Diseases and Abnormalities at or Before Birth,Multiple Endocrine Neoplasia Type 2a,8
Diseases and Abnormalities at or Before Birth,Multiple Endocrine Neoplasia Type 2b,5
Diseases and Abnormalities at or Before Birth,Multiple Sulfatase Deficiency Disease,1
Diseases and Abnormalities at or Before Birth,Muscular Dystrophies,411
Diseases and Abnormalities at or Before Birth,"Muscular Dystrophies, Limb-Girdle",29
Diseases and Abnormalities at or Before Birth,"Muscular Dystrophy, Duchenne",250
Diseases and Abnormalities at or Before Birth,"Muscular Dystrophy, Emery-Dreifuss",1
Diseases and Abnormalities at or Before Birth,"Muscular Dystrophy, Facioscapulohumeral",29
Diseases and Abnormalities at or Before Birth,"Muscular Dystrophy, Oculopharyngeal",10
Diseases and Abnormalities at or Before Birth,Musculoskeletal Abnormalities,528
Diseases and Abnormalities at or Before Birth,"Myasthenic Syndromes, Congenital",11
Diseases and Abnormalities at or Before Birth,Myotonia Congenita,6
Diseases and Abnormalities at or Before Birth,Myotonic Dystrophy,44
Diseases and Abnormalities at or Before Birth,Nail-Patella Syndrome,1
Diseases and Abnormalities at or Before Birth,Neonatal Abstinence Syndrome,53
Diseases and Abnormalities at or Before Birth,Neonatal Brachial Plexus Palsy,8
Diseases and Abnormalities at or Before Birth,Neonatal Sepsis,100
Diseases and Abnormalities at or Before Birth,"Neoplastic Syndromes, Hereditary",560
Diseases and Abnormalities at or Before Birth,"Nephritis, Hereditary",14
Diseases and Abnormalities at or Before Birth,Nervous System Malformations,332
Diseases and Abnormalities at or Before Birth,Nesidioblastosis,1
Diseases and Abnormalities at or Before Birth,Netherton Syndrome,8
Diseases and Abnormalities at or Before Birth,Neural Tube Defects,105
Diseases and Abnormalities at or Before Birth,Neuroacanthocytosis,1
Diseases and Abnormalities at or Before Birth,Neurofibromatoses,210
Diseases and Abnormalities at or Before Birth,Neurofibromatosis 1,182
Diseases and Abnormalities at or Before Birth,Neurofibromatosis 2,44
Diseases and Abnormalities at or Before Birth,Neuronal Ceroid-Lipofuscinoses,28
Diseases and Abnormalities at or Before Birth,"Nevus, Sebaceous of Jadassohn",3
Diseases and Abnormalities at or Before Birth,"Niemann-Pick Disease, Type A",46
Diseases and Abnormalities at or Before Birth,"Niemann-Pick Disease, Type B",1
Diseases and Abnormalities at or Before Birth,"Niemann-Pick Disease, Type C",46
Diseases and Abnormalities at or Before Birth,Niemann-Pick Diseases,46
Diseases and Abnormalities at or Before Birth,Noonan Syndrome,13
Diseases and Abnormalities at or Before Birth,Nuchal Cord,2
Diseases and Abnormalities at or Before Birth,"Nystagmus, Congenital",3
Diseases and Abnormalities at or Before Birth,Oculocerebrorenal Syndrome,6
Diseases and Abnormalities at or Before Birth,Olivopontocerebellar Atrophies,2
Diseases and Abnormalities at or Before Birth,Ophthalmia Neonatorum,2
Diseases and Abnormalities at or Before Birth,"Optic Atrophies, Hereditary",34
Diseases and Abnormalities at or Before Birth,"Optic Atrophy, Autosomal Dominant",5
Diseases and Abnormalities at or Before Birth,"Optic Atrophy, Hereditary, Leber",29
Diseases and Abnormalities at or Before Birth,Ornithine Carbamoyltransferase Deficiency Disease,14
Diseases and Abnormalities at or Before Birth,Orofaciodigital Syndromes,3
Diseases and Abnormalities at or Before Birth,"Osteoarthropathy, Primary Hypertrophic",2
Diseases and Abnormalities at or Before Birth,Osteochondrodysplasias,163
Diseases and Abnormalities at or Before Birth,Osteogenesis Imperfecta,44
Diseases and Abnormalities at or Before Birth,Pachyonychia Congenita,7
Diseases and Abnormalities at or Before Birth,"Pain Insensitivity, Congenital",4
Diseases and Abnormalities at or Before Birth,Pallister-Hall Syndrome,1
Diseases and Abnormalities at or Before Birth,Pantothenate Kinase-Associated Neurodegeneration,8
Diseases and Abnormalities at or Before Birth,Papillon-Lefevre Disease,1
Diseases and Abnormalities at or Before Birth,"Paralysis, Hyperkalemic Periodic",3
Diseases and Abnormalities at or Before Birth,"Paralysis, Obstetric",1
Diseases and Abnormalities at or Before Birth,Pectus Carinatum,7
Diseases and Abnormalities at or Before Birth,Pelizaeus-Merzbacher Disease,5
Diseases and Abnormalities at or Before Birth,"Pemphigus, Benign Familial",3
Diseases and Abnormalities at or Before Birth,Pentalogy of Cantrell,3
Diseases and Abnormalities at or Before Birth,Periventricular Nodular Heterotopia,1
Diseases and Abnormalities at or Before Birth,Peroxisomal Disorders,53
Diseases and Abnormalities at or Before Birth,Persistent Fetal Circulation Syndrome,28
Diseases and Abnormalities at or Before Birth,Persistent Hyperplastic Primary Vitreous,1
Diseases and Abnormalities at or Before Birth,Peutz-Jeghers Syndrome,16
Diseases and Abnormalities at or Before Birth,Phenylketonurias,89
Diseases and Abnormalities at or Before Birth,Piebaldism,6
Diseases and Abnormalities at or Before Birth,Pierre Robin Syndrome,8
Diseases and Abnormalities at or Before Birth,Plagiocephaly,13
Diseases and Abnormalities at or Before Birth,"Plagiocephaly, Nonsynostotic",8
Diseases and Abnormalities at or Before Birth,Platybasia,2
Diseases and Abnormalities at or Before Birth,POEMS Syndrome,6
Diseases and Abnormalities at or Before Birth,Polycystic Kidney Diseases,120
Diseases and Abnormalities at or Before Birth,"Polycystic Kidney, Autosomal Dominant",101
Diseases and Abnormalities at or Before Birth,"Polycystic Kidney, Autosomal Recessive",3
Diseases and Abnormalities at or Before Birth,Polydactyly,4
Diseases and Abnormalities at or Before Birth,Polymicrogyria,3
Diseases and Abnormalities at or Before Birth,Porokeratosis,1
Diseases and Abnormalities at or Before Birth,Porphyria Cutanea Tarda,36
Diseases and Abnormalities at or Before Birth,"Porphyria, Acute Intermittent",18
Diseases and Abnormalities at or Before Birth,"Porphyria, Erythropoietic",44
Diseases and Abnormalities at or Before Birth,"Porphyria, Variegate",6
Diseases and Abnormalities at or Before Birth,"Porphyrias, Hepatic",36
Diseases and Abnormalities at or Before Birth,Port-Wine Stain,70
Diseases and Abnormalities at or Before Birth,Prader-Willi Syndrome,84
Diseases and Abnormalities at or Before Birth,Progeria,8
Diseases and Abnormalities at or Before Birth,Prognathism,17
Diseases and Abnormalities at or Before Birth,Prolidase Deficiency,1
Diseases and Abnormalities at or Before Birth,Propionic Acidemia,9
Diseases and Abnormalities at or Before Birth,Protein C Deficiency,3
Diseases and Abnormalities at or Before Birth,Proteus Syndrome,5
Diseases and Abnormalities at or Before Birth,"Protoporphyria, Erythropoietic",14
Diseases and Abnormalities at or Before Birth,Prune Belly Syndrome,8
Diseases and Abnormalities at or Before Birth,Pseudohypoaldosteronism,4
Diseases and Abnormalities at or Before Birth,Pseudohypoparathyroidism,12
Diseases and Abnormalities at or Before Birth,Pseudopseudohypoparathyroidism,12
Diseases and Abnormalities at or Before Birth,Pseudoxanthoma Elasticum,15
Diseases and Abnormalities at or Before Birth,Pulmonary Atresia,6
Diseases and Abnormalities at or Before Birth,"Purine-Pyrimidine Metabolism, Inborn Errors",113
Diseases and Abnormalities at or Before Birth,Pyelectasis,1
Diseases and Abnormalities at or Before Birth,Pyruvate Carboxylase Deficiency Disease,1
Diseases and Abnormalities at or Before Birth,Pyruvate Dehydrogenase Complex Deficiency Disease,3
